Domain,Type,Sponsoring Organisation,Date
.abbott,generic,"Abbott Laboratories, Inc.",2024-07-02
.abogado,generic,Top Level Domain Holdings Limited,2024-07-02
.academy,generic,"Half Oaks, LLC",2024-07-02
.accountant,generic,dot Accountant Limited,2024-07-02
.accountants,generic,"Knob Town, LLC",2024-07-02
.active,generic,"The Active Network, Inc",2024-07-02
.actor,generic,United TLD Holdco Ltd.,2024-07-02
.ads,generic,Charleston Road Registry Inc.,2024-07-02
.adult,generic,ICM Registry AD LLC,2024-07-02
.afl,generic,Australian Football League,2024-07-02
.agency,generic,"Steel Falls, LLC",2024-07-02
.airforce,generic,United TLD Holdco Ltd.,2024-07-02
.allfinanz,generic,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft,2024-07-02
.alsace,generic,REGION D ALSACE,2024-07-02
.amsterdam,generic,Gemeente Amsterdam,2024-07-02
.android,generic,Charleston Road Registry Inc.,2024-07-02
.apartments,generic,"June Maple, LLC",2024-07-02
.aquarelle,generic,Aquarelle.com,2024-07-02
.archi,generic,STARTING DOT LIMITED,2024-07-02
.army,generic,United TLD Holdco Ltd.,2024-07-02
.associates,generic,"Baxter Hill, LLC",2024-07-02
.attorney,generic,"United TLD Holdco, Ltd",2024-07-02
.auction,generic,"United TLD HoldCo, Ltd.",2024-07-02
.audio,generic,"Uniregistry, Corp.",2024-07-02
.autos,generic,"DERAutos, LLC",2024-07-02
.axa,generic,AXA SA,2024-07-02
.band,generic,"United TLD Holdco, Ltd",2024-07-02
.bank,generic,"fTLD Registry Services, LLC",2024-07-02
.bar,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,2024-07-02
.barclaycard,generic,Barclays Bank PLC,2024-07-02
.barclays,generic,Barclays Bank PLC,2024-07-02
.bargains,generic,"Half Hallow, LLC",2024-07-02
.bauhaus,generic,Werkhaus GmbH,2024-07-02
.bayern,generic,Bayern Connect GmbH,2024-07-02
.bbc,generic,British Broadcasting Corporation,2024-07-02
.beer,generic,Top Level Domain Holdings Limited,2024-07-02
.berlin,generic,dotBERLIN GmbH & Co. KG,2024-07-02
.best,generic,BestTLD Pty Ltd,2024-07-02
.bid,generic,dot Bid Limited,2024-07-02
.bike,generic,"Grand Hollow, LLC",2024-07-02
.bingo,generic,"Sand Cedar, LLC",2024-07-02
.bio,generic,STARTING DOT LIMITED,2024-07-02
.black,generic,Afilias Limited,2024-07-02
.blackfriday,generic,"Uniregistry, Corp.",2024-07-02
.bloomberg,generic,Bloomberg IP Holdings LLC,2024-07-02
.blue,generic,Afilias Limited,2024-07-02
.bmw,generic,Bayerische Motoren Werke Aktiengesellschaft,2024-07-02
.bnpparibas,generic,BNP Paribas,2024-07-02
.boats,generic,"DERBoats, LLC",2024-07-02
.bond,generic,Bond University Limited,2024-07-02
.boo,generic,Charleston Road Registry Inc.,2024-07-02
.boutique,generic,"Over Galley, LLC",2024-07-02
.brussels,generic,DNS.be vzw,2024-07-02
.budapest,generic,Top Level Domain Holdings Limited,2024-07-02
.build,generic,Plan Bee LLC,2024-07-02
.builders,generic,"Atomic Madison, LLC",2024-07-02
.business,generic,"Spring Cross, LLC",2024-07-02
.buzz,generic,DOTSTRATEGY CO.,2024-07-02
.bzh,generic,Association www.bzh,2024-07-02
.cab,generic,"Half Sunset, LLC",2024-07-02
.cafe,generic,"Pioneer Canyon, LLC",2024-07-02
.cal,generic,Charleston Road Registry Inc.,2024-07-02
.camera,generic,"Atomic Maple, LLC",2024-07-02
.camp,generic,"Delta Dynamite, LLC",2024-07-02
.cancerresearch,generic,Australian Cancer Research Foundation,2024-07-02
.canon,generic,Canon Inc.,2024-07-02
.capetown,generic,ZA Central Registry NPC trading as ZA Central Registry,2024-07-02
.capital,generic,"Delta Mill, LLC",2024-07-02
.caravan,generic,"Caravan International, Inc.",2024-07-02
.cards,generic,"Foggy Hollow, LLC",2024-07-02
.care,generic,"Goose Cross, LLC",2024-07-02
.career,generic,dotCareer LLC,2024-07-02
.careers,generic,"Wild Corner, LLC",2024-07-02
.cartier,generic,Richemont DNS Inc.,2024-07-02
.casa,generic,Top Level Domain Holdings Limited,2024-07-02
.cash,generic,"Delta Lake, LLC",2024-07-02
.casino,generic,"Binky Sky, LLC",2024-07-02
.catering,generic,New Falls. LLC,2024-07-02
.cbn,generic,"The Christian Broadcasting Network, Inc.",2024-07-02
.center,generic,"Tin Mill, LLC",2024-07-02
.ceo,generic,CEOTLD Pty Ltd,2024-07-02
.cern,generic,"European Organization for Nuclear Research (""CERN"")",2024-07-02
.cfd,generic,DOTCFD REGISTRY LTD,2024-07-02
.channel,generic,Charleston Road Registry Inc.,2024-07-02
.chat,generic,"Sand Fields, LLC",2024-07-02
.cheap,generic,"Sand Cover, LLC",2024-07-02
.chloe,generic,Richemont DNS Inc.,2024-07-02
.christmas,generic,"Uniregistry, Corp.",2024-07-02
.chrome,generic,Charleston Road Registry Inc.,2024-07-02
.church,generic,"Holly Fileds, LLC",2024-07-02
.citic,generic,CITIC Group Corporation,2024-07-02
.city,generic,"Snow Sky, LLC",2024-07-02
.claims,generic,"Black Corner, LLC",2024-07-02
.cleaning,generic,"Fox Shadow, LLC",2024-07-02
.click,generic,"Uniregistry, Corp.",2024-07-02
.clinic,generic,"Goose Park, LLC",2024-07-02
.clothing,generic,"Steel Lake, LLC",2024-07-02
.club,generic,".CLUB DOMAINS, LLC",2024-07-02
.coach,generic,"Koko Island, LLC",2024-07-02
.codes,generic,"Puff Willow, LLC",2024-07-02
.coffee,generic,"Trixy Cover, LLC",2024-07-02
.college,generic,XYZ.COM LLC,2024-07-02
.cologne,generic,NetCologne Gesellschaft für Telekommunikation mbH,2024-07-02
.com,generic,VeriSign Global Registry Services,2024-07-02
.community,generic,"Fox Orchard, LLC",2024-07-02
.company,generic,"Silver Avenue, LLC",2024-07-02
.computer,generic,"Pine Mill, LLC",2024-07-02
.condos,generic,"Pine House, LLC",2024-07-02
.construction,generic,"Fox Dynamite, LLC",2024-07-02
.consulting,generic,"United TLD Holdco, LTD.",2024-07-02
.contractors,generic,"Magic Woods, LLC",2024-07-02
.cooking,generic,Top Level Domain Holdings Limited,2024-07-02
.cool,generic,"Koko Lake, LLC",2024-07-02
.country,generic,Top Level Domain Holdings Limited,2024-07-02
.courses,generic,OPEN UNIVERSITIES AUSTRALIA PTY LTD,2024-07-02
.credit,generic,"Snow Shadow, LLC",2024-07-02
.creditcard,generic,"Binky Frostbite, LLC",2024-07-02
.cricket,generic,dot Cricket Limited,2024-07-02
.crs,generic,Federated Co-operatives Limited,2024-07-02
.cruises,generic,"Spring Way, LLC",2024-07-02
.cuisinella,generic,SALM S.A.S.,2024-07-02
.cymru,generic,Nominet UK,2024-07-02
.cyou,generic,"Beijing Gamease Age Digital Technology Co., Ltd.",2024-07-02
.dabur,generic,Dabur India Limited,2024-07-02
.dad,generic,Charleston Road Registry Inc.,2024-07-02
.dance,generic,United TLD Holdco Ltd.,2024-07-02
.date,generic,dot Date Limited,2024-07-02
.dating,generic,"Pine Fest, LLC",2024-07-02
.datsun,generic,"NISSAN MOTOR CO., LTD.",2024-07-02
.day,generic,Charleston Road Registry Inc.,2024-07-02
.dclk,generic,Charleston Road Registry Inc.,2024-07-02
.deals,generic,"Sand Sunset, LLC",2024-07-02
.degree,generic,"United TLD Holdco, Ltd",2024-07-02
.delivery,generic,"Steel Station, LLC",2024-07-02
.democrat,generic,United TLD Holdco Ltd.,2024-07-02
.dental,generic,"Tin Birch, LLC",2024-07-02
.dentist,generic,"United TLD Holdco, Ltd",2024-07-02
.desi,generic,Desi Networks LLC,2024-07-02
.design,generic,"Top Level Design, LLC",2024-07-02
